Rank;FirstName;LastName;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3
218;George;Hill;MIL;35;26;16;10;26.4;7.7;2.8;6.2;45.6;0.9;2.8;31.5;1.2;1.3;93.9;0.9;2.5;3.4;2.5;1.2;0.8;0.1;1.6;17.2;0;0
219;Isaiah;Hartenstein;LAC;23;29;16;13;16.4;7.7;3.2;4.9;66.2;0.1;0.1;66.7;1.1;1.7;65.3;1.8;2.9;4.7;1.9;1.0;0.8;1.3;2.6;21.4;1;0
220;Kenyon Jr.;Martin;HOU;20;29;10;19;17.5;7.6;3.1;5.7;54.2;0.5;1.6;30.4;0.9;1.6;60.0;0.8;2.7;3.5;1.2;0.4;0.4;0.4;1.2;15.6;1;0
221;Caleb;Martin;MIA;26;23;13;10;19.6;7.6;2.9;5.9;48.9;0.9;2.3;37.7;1.0;1.6;63.9;0.8;2.3;3.2;1.0;0.6;0.9;0.6;1.5;16.6;0;0
222;Tre;Mann;OKC;20;20;7;13;16.5;7.6;2.9;6.9;42.3;1.1;2.7;40.7;0.7;1.0;70.0;0.4;1.6;1.9;0.5;0.7;0.6;0.3;1.7;12.5;0;0
223;Hamidou;Diallo;DET;23;22;2;20;17.0;7.6;3.1;5.7;54.4;0.3;1.2;26.9;1.1;1.6;66.7;0.8;2.3;3.1;0.8;0.7;0.6;0.4;1.9;14.9;0;0
224;Trey;Lyles;DET;26;29;5;24;16.6;7.6;2.6;6.0;42.3;0.8;2.6;29.3;1.7;2.2;79.4;1.2;2.9;4.1;0.9;0.9;0.3;0.2;1.5;14.6;0;0
225;Hassan;Whiteside;UTA;32;27;18;9;15.4;7.5;3.0;5.0;60.4;0.0;0.0;0.0;1.5;2.1;71.4;2.2;4.4;6.6;0.3;1.0;0.2;1.3;2.9;19.4;4;0
226;Trey;Burke;DAL;29;17;5;12;13.0;7.5;2.9;6.5;44.5;0.9;2.5;34.9;0.8;0.9;93.3;0.1;1.1;1.2;1.9;0.8;0.4;0.0;0.9;12.1;0;0
227;Grant;Williams;BOS;23;28;14;14;22.1;7.5;2.5;4.9;51.1;1.5;3.4;45.3;0.9;1.1;86.7;0.6;2.8;3.4;1.0;0.6;0.4;0.6;2.0;15.4;0;0
228;R.J.;Hampton;ORL;20;29;5;24;18.5;7.4;2.6;6.4;39.8;1.0;2.5;41.7;1.3;2.2;60.3;0.3;2.5;2.8;2.3;1.5;0.5;0.1;1.4;14.6;0;0
229;Otto Jr.;Porter;GSW;28;25;21;4;19.5;7.4;2.6;5.9;44.9;1.6;4.0;39.4;0.6;0.8;78.9;0.7;4.0;4.8;1.0;0.6;0.8;0.3;1.3;17.3;1;0
230;Chris;Boucher;TOR;28;27;14;13;15.9;7.4;2.8;6.5;43.2;0.6;2.6;21.4;1.2;1.7;73.3;1.6;3.0;4.6;0.3;0.6;0.4;0.9;1.6;16.7;1;0
231;Herbert;Jones;NOP;23;28;10;18;27.4;7.3;2.9;6.2;47.1;0.4;1.1;33.3;1.1;1.4;75.0;1.2;2.3;3.5;1.9;1.1;1.4;0.9;3.0;19.8;0;0
232;Chuma;Okeke;ORL;23;25;5;20;22.5;7.3;2.7;7.2;37.0;0.9;3.6;25.3;1.0;1.2;86.2;0.6;3.6;4.3;1.3;1.0;1.0;0.4;1.3;17.8;1;0
